Trương Đình Hội, Quận 8
Tùng Thiện Vương, Quận 8
Gò Dầu, Tan Phu
Hà Huy Giáp, Quận 12
Bà Hạt, Quận 10
Nguyễn Công Trứ, Quận 1
Âu Dương Lân, Quận 8
Thuận Kiều, Quận 5
Đồng Đen, Tân Bình
Hưng Phú, Quận 8
Nguyễn Thị Huỳnh, Phú Nhuận
Lý Thường Kiệt, Tân Bình
Nguyễn Văn Cừ, Quận 1
Phan Văn Hớn, Quận 12
Ðồng Khởi, Quận 1
Phạm Văn Đồng, Thủ Đức
Hoàng Hoa Thám, Bình Thạnh
PhạM Văn ĐồNg, Gò Vấp
Xa Lộ Hà Nội, Quận 9
Lê Lợi, Quận 1
Quốc Lộ 13, Thủ Đức
Châu Văn Liêm, Quận 5
Nguyễn Trọng Tuyển, Phú Nhuận
Tân Sơn Nhì, Tan Phu
Đinh Bộ Lĩnh, Bình Thạnh
Hương Lộ 2, Binh Tan
Nguyễn Thiện Thuật, Quận 3
Tô Ngọc Vân, Thủ Đức
Nguyễn Văn Lượng, Gò Vấp
Cầu Vượt Ngã Tư Ga, Quận 12
Hoà Hưng, Quận 10
Huỳnh Khương Ninh, Quận 1
Nguyễn Tiểu La, Quận 10
Cầu Sài Gòn 1, Quận 2
Hồ Tùng Mậu, Quận 1
Nguyễn Biểu, Quận 5
Ông Ích Khiêm, Quận 11
Lê Văn Quới, Binh Tan
Ngô Quyền, Quận 5
Mạc Thiên Tích, Quận 5
Nguyễn Văn Đậu, Bình Thạnh
Cầu Him Lam, Quận 7
Khánh Hội, Quận 4
Hoàng Việt, Tân Bình
Cầu Vượt Cộng Hòa - Hoàng Hoa Thám, Tân Bình
Nguyễn Ngọc Lộc, Quận 10
Dương Bá Trạc, Quận 8
Quốc Hương, Quận 2
Lữ Gia, Quận 11
Khuông Việt, Tan Phu
Tăng Nhơn Phú, Quận 9
Nguyễn Lương Bằng, Quận 7
Đặng Văn Ngữ, Phú Nhuận
Hồ Xuân Hương, Quận 3
Vĩnh Lộc, Bình Chánh
Cầu Chữ Y, Quận 8
Nguyễn Văn Tạo, Nhà Bè
Cầu Văn Thánh, Bình Thạnh
Dương Đình Hội, Quận 9
Tôn Đản, Quận 4
Cầu Nguyễn Văn Cừ, Quận 4
Nguyễn Thị Định, Quận 2
Mai Thị Lựu, Quận 1
Tô Ký, Quận 12
Nguyễn Văn Bảo, Gò Vấp
Phổ Quang, Tân Bình
Hồng Bàng, Quận 5
Trương Công Định, Tân Bình
Hẻm 198 Nguyễn Văn Linh, Quận 7
Trường Chinh, Quận 12
Chương Dương, Thủ Đức
Đỗ Xuân Hợp, Quận 9
Ung Văn Khiêm, Bình Thạnh
Phan Huy Ích, Gò Vấp
Bàu Cát, Tân Bình
Nguyễn Thông, Quận 3
Cầu Vượt Linh Xuân, Thủ Đức
Tuệ Tĩnh, Quận 11
Nguyễn Cửu Vân, Bình Thạnh
Võ Thị Sáu, Quận 3
Mạc Đĩnh Chi, Quận 1
Nam Kỳ Khởi Nghĩa, Quận 3
Tản Viên, Tân Bình
Bình Quới, Bình Thạnh
Trần Quốc Thảo, Quận 3
Nguyễn Văn Quá, Quận 12
Vườn Lài, Tan Phu
Lê Duẩn, Quận 1
Thảo Điền, Quận 2
Nguyễn Tất Thành, Quận 4
Vĩnh Viễn, Quận 10
Hoàng Văn Thụ, Phú Nhuận
Trần Quang Diệu, Quận 3
Nguyễn Thái Bình, Tân Bình
Nguyễn Sơn, Tan Phu
Ngô Gia Tự, Quận 10
Nguyễn Hữu Cảnh, Bình Thạnh
Cao Thắng, Quận 10
Độc Lập, Tan Phu
Trần Não, Quận 2
Bùi Hữu Nghĩa, Bien Hoa
Cầu Bửu Hòa, Bien Hoa
Cầu Đồng Nai, Bien Hoa
Cầu Vượt Ngã Tư Vũng Tàu, Bien Hoa
Quốc Lộ 1a, Bien Hoa
Quốc Lộ 51, Bien Hoa
Cầu An Lạc, Binh Tan
